,st_pmralim,ra,st_logglim,st_tmagerr1,st_pmdec,st_radlim,st_tmag,st_pmra,st_pmdecerr2,st_radsymerr,st_tefferr2,st_dist,st_loggsymerr,st_distsymerr,st_tefflim,st_distlim,st_disterr2,st_teff,st_loggerr2,dec,st_tmagsymerr,st_pmdeclim,st_pmraerr2,st_rad,st_loggerr1,st_tmagerr2,st_pmrasymerr,st_logg,st_teffsymerr,st_pmdecerr1,st_tmaglim,st_pmdecsymerr,st_disterr1,st_raderr1,st_pmraerr1,st_tefferr1,st_raderr2,tfopwg_disp
0,0.0,112.357708,0,0.013,-0.076,0,9.604,-5.964,-0.072,1,-264.7,485.735,1,1,0,0,-11.9515,10249.0,-0.07,-12.69596,1,0.0,-0.085,2.16986,0.07,-0.013,1.0,4.19,1,0.072,0,1.0,11.9515,0.0725729,0.085,264.7,-0.0725729,NOT PLANET
2,0.0,104.726966,0,0.058,-2.249,0,9.299501,-1.462,-0.206,1,-124.0,943.109,1,1,0,0,-106.333,8924.0,,-10.580455,1,0.0,-0.206,5.73,,-0.058,1.0,,1,0.206,0,1.0,106.333,,0.206,124.0,,NOT PLANET
3,0.0,110.559945,0,0.037,1.64,0,9.3003,-0.939,-0.055,1,-567.0,7728.17,1,1,0,0,-1899.57,5388.5,-1.64,-25.207017,1,0.0,-0.041,,1.64,-0.037,1.0,4.15,1,0.055,0,1.0,1899.57,,0.041,567.0,,NOT PLANET
4,0.0,122.178195,0,0.006,9.347,0,9.1355,-4.496,-0.062,1,-171.1,356.437,1,1,0,0,-4.6175,9219.0,-0.07,-48.802811,1,0.0,-0.069,2.15,0.07,-0.006,1.0,4.14,1,0.062,0,1.0,4.6175,0.06,0.069,171.1,-0.06,NOT PLANET
5,0.0,120.704811,0,0.006,-2.901,0,9.1309,-26.932,-2.06,1,-179.9,100.711,1,1,0,0,-14.121,5613.0,,-11.101521,1,0.0,-1.935,1.09,,-0.006,1.0,,1,2.06,0,1.0,14.121,0.07,1.935,179.9,-0.07,NOT PLANET
6,0.0,124.359239,0,0.006,-6.8,0,9.2386,-29.1,-2.2,1,-200.0,,1,1,0,0,,6616.0,,-27.273521,1,0.0,-2.6,1.53429,,-0.006,1.0,,1,2.2,0,1.0,,1.4887,2.6,200.0,-1.4887,NOT PLANET
8,0.0,109.382839,0,0.012,1.3,0,8.9362,-17.9,-1.0,1,-584.6,144.297,1,1,0,0,,6858.5,-1.9,13.395219,1,0.0,-1.1,1.57,1.9,-0.012,1.0,4.2,1,1.0,0,1.0,,,1.1,584.6,,NOT PLANET
10,0.0,318.737012,0,0.006,-16.011,0,12.4069,12.641,-0.041,1,,375.31,1,1,0,0,-4.411,5600.0,,-55.871863,1,0.0,-0.044,0.890774,,-0.006,1.0,4.48851,1,0.041,0,1.0,4.411,0.0438467,0.044,,-0.0438467,PLANET
11,0.0,112.293981,0,0.006,4.502,0,8.45086,-5.746,-0.261,1,-782.0,485.122,1,1,0,0,-36.246,9438.0,,-21.832912,1,0.0,-0.176,1.0,,-0.006,1.0,,1,0.261,0,1.0,36.246,,0.176,782.0,,NOT PLANET
14,0.0,107.286063,0,0.006,7.061,0,7.6095,-3.973,-0.071,1,-809.8,510.295,1,1,0,0,-9.32,8868.7,,-31.933523,1,0.0,-0.063,,,-0.006,1.0,,1,0.071,0,1.0,9.32,,0.063,809.8,,NOT PLANET
15,0.0,103.561602,0,0.012,9.737,0,7.678,-13.063,-0.141,1,-938.9,224.672,1,1,0,0,-2.8445,9307.0,,-34.22282,1,0.0,-0.078,,,-0.012,1.0,,1,0.141,0,1.0,2.8445,,0.078,938.9,,NOT PLANET
16,0.0,122.895964,0,0.008,-17.974,0,10.7069,1.566,-0.053,1,-122.0,906.496,1,1,0,0,-28.8415,4897.0,,-27.971896,1,0.0,-0.052,6.7996101,,-0.008,1.0,,1,0.053,0,1.0,28.8415,,0.052,122.0,,NOT PLANET
17,0.0,116.110771,0,0.006,11.614,0,10.6257,-9.231,-0.052,1,-135.8,368.646,1,1,0,0,-3.784,7601.0,-0.08,-36.098285,1,0.0,-0.048,1.53641,0.08,-0.006,1.0,4.31,1,0.052,0,1.0,3.784,0.0479799,0.048,135.8,-0.0479799,NOT PLANET
18,0.0,124.726411,0,0.006,9.593,0,10.6019,-11.278,-0.045,1,-157.0,406.997,1,1,0,0,-4.7245,6995.2,-0.55,-37.78325,1,0.0,-0.045,1.61,0.55,-0.006,1.0,4.07,1,0.045,0,1.0,4.7245,0.07,0.045,157.0,-0.07,NOT PLANET
19,0.0,111.716019,0,0.006,11.56,0,10.6254,-8.018,-0.047,1,-124.3,360.541,1,1,0,0,-2.9645,5889.0,-0.07,-50.266567,1,0.0,-0.049,2.0,0.07,-0.006,1.0,3.86,1,0.047,0,1.0,2.9645,0.09,0.049,124.3,-0.09,NOT PLANET
21,0.0,87.139821,0,0.006,26.046,0,9.7109,-15.641,-0.037,1,,175.631,1,1,0,0,-0.588,6280.0,,-63.988329,1,0.0,-0.037,1.21,,-0.006,1.0,4.32092,1,0.037,0,1.0,0.588,0.05,0.037,,-0.05,PLANET
22,0.0,128.381976,0,0.013,4.328,0,10.7173,-5.814,-0.047,1,-283.6,906.827,1,1,0,0,-23.8635,8734.2,-1.45,-43.828421,1,0.0,-0.051,,1.45,-0.013,1.0,4.1,1,0.047,0,1.0,23.8635,,0.051,283.6,,NOT PLANET
23,0.0,119.30075,0,0.006,-15.082,0,10.5551,-3.211,-0.051,1,-133.5,235.974,1,1,0,0,-1.579,6022.6,-0.39,-42.999149,1,0.0,-0.046,1.22,0.39,-0.006,1.0,4.52,1,0.051,0,1.0,1.579,0.05,0.046,133.5,-0.05,NOT PLANET
25,0.0,120.837688,0,0.006,22.652,0,9.697,-23.366,-0.04,1,-86.8,316.398,1,1,0,0,-2.247,5050.8,-0.4,-51.345626,1,0.0,-0.042,2.99,0.4,-0.006,1.0,3.56,1,0.04,0,1.0,2.247,0.15,0.042,86.8,-0.15,NOT PLANET
26,0.0,86.820714,0,0.006,11.563,0,10.0814,1.128,-0.047,1,-122.0,692.266,1,1,0,0,-12.113,4709.0,,-72.422611,1,0.0,-0.044,7.61,,-0.006,1.0,,1,0.047,0,1.0,12.113,,0.044,122.0,,NOT PLANET
28,0.0,125.434634,0,0.006,-6.325,0,9.9138,47.228,-0.039,1,-129.0,105.677,1,1,0,0,-0.2575,5690.0,-0.08,-51.759442,1,0.0,-0.047,0.853898,0.08,-0.006,1.0,4.58,1,0.039,0,1.0,0.2575,0.0413895,0.047,129.0,-0.0413895,NOT PLANET
32,0.0,157.098337,0,0.006,-33.906,0,7.9059,30.65,-0.056,1,-120.9,23.7748,1,1,0,0,-0.02025,4634.0,-0.09,-51.705409,1,0.0,-0.054,0.68,0.09,-0.006,1.0,4.64,1,0.056,0,1.0,0.02025,0.05,0.054,120.9,-0.05,NOT PLANET
33,,88.73909,0,0.0,,0,6.841,,,1,,,1,1,0,0,,,,-65.958839,1,,,,,0.0,,,1,,0,,,,,,,NOT PLANET
34,0.0,312.457488,0,0.008,15.62,0,11.5232,10.426,-0.051,1,,411.211,1,1,0,0,-7.752,6351.0,,-24.428694,1,0.0,-0.07,1.4,,-0.008,1.0,4.22896,1,0.051,0,1.0,7.752,,0.07,,,PLANET
35,0.0,155.831478,0,0.006,22.489,0,9.5706,-26.184,-1.073,1,-60.0,78.41273,1,1,0,0,-2.83992,4807.6,-0.36,-57.590248,1,0.0,-2.184,1.07,0.36,-0.006,1.0,4.17,1,1.073,0,1.0,2.83992,0.03,2.184,60.0,-0.03,NOT PLANET
36,0.0,140.88389,0,0.006,3.03,0,9.7318,-23.901,-0.047,1,-103.2,270.771,1,1,0,0,-1.6275,6415.4,-0.08,-67.026006,1,0.0,-0.042,1.92,0.08,-0.006,1.0,3.98,1,0.047,0,1.0,1.6275,0.08,0.042,103.2,-0.08,NOT PLANET
38,0.0,87.282586,0,0.006,20.7,0,10.0163,8.9,-2.2,1,,219.94,1,1,0,0,,6113.1,,-60.498444,1,0.0,-3.1,2.01,,-0.006,1.0,,1,2.2,0,1.0,,,3.1,,,NOT PLANET
39,0.0,134.441752,0,0.006,4.109,0,9.8174,-4.837,-0.062,1,-173.7,363.44,1,1,0,0,-4.983,9810.0,-0.06,-49.000578,1,0.0,-0.063,1.60776,0.06,-0.006,1.0,4.43,1,0.062,0,1.0,4.983,0.0427739,0.063,173.7,-0.0427739,NOT PLANET
42,0.0,147.385172,0,0.006,10.953,0,9.0211,-19.687,-0.068,1,-171.4,279.698,1,1,0,0,-3.279,9158.0,-0.07,-63.306478,1,0.0,-0.07,1.74,0.07,-0.006,1.0,4.32,1,0.068,0,1.0,3.279,0.05,0.07,171.4,-0.05,NOT PLANET
43,0.0,128.454638,0,0.006,7.0,0,8.7157,-15.5,-1.5,1,-239.9,280.765,1,1,0,0,,8904.0,-1.36,-49.940347,1,0.0,-1.6,2.17,1.36,-0.006,1.0,4.09,1,1.5,0,1.0,,,1.6,239.9,,NOT PLANET
45,0.0,319.949697,0,0.006,-10.658,0,9.8638,10.552,-0.043,1,,316.678,1,1,0,0,-2.9655,6036.0,,-58.148933,1,0.0,-0.045,2.2186699,,-0.006,1.0,3.93359,1,0.043,0,1.0,2.9655,0.102573,0.045,,-0.102573,PLANET
46,0.0,128.61421,0,0.007,6.725,0,8.3854,-11.78,-0.097,1,-123.0,732.432,1,1,0,0,-32.449,10037.0,,-61.488262,1,0.0,-0.118,6.04,,-0.007,1.0,,1,0.097,0,1.0,32.449,,0.118,123.0,,NOT PLANET
47,0.0,138.402252,0,0.006,14.261,0,8.0981,-14.189,-0.058,1,-173.2,305.034,1,1,0,0,-2.981,9081.0,-0.07,-55.19791,1,0.0,-0.065,3.05,0.07,-0.006,1.0,3.83,1,0.058,0,1.0,2.981,0.09,0.065,173.2,-0.09,NOT PLANET
49,0.0,128.302319,0,0.006,14.659,0,9.5719,-9.496,-0.045,1,-135.7,208.055,1,1,0,0,-1.1015,6902.0,-0.09,-52.714202,1,0.0,-0.051,1.52,0.09,-0.006,1.0,4.25,1,0.045,0,1.0,1.1015,0.06,0.051,135.7,-0.06,NOT PLANET
51,0.0,159.887704,0,0.006,14.667,0,9.6306,-34.609,-0.057,1,-299.6,300.696,1,1,0,0,-3.3695,7013.8,-0.44,-32.51188,1,0.0,-0.053,1.9,0.44,-0.006,1.0,4.21,1,0.057,0,1.0,3.3695,0.08,0.053,299.6,-0.08,NOT PLANET
